"","Cust_ID","Dwelling","LengthRes","HomeCode","HomeValue","IncCode","AgeCode","Child0_2","Child3_5","Child6_11","Child12_16","Child17_18","FirstChannel","Email","OccupCd","Travel","CurrAff","CurrEv","Wines","FineArts","Exercise","SelfHelp","Collect","Needle","Sewing","DogOwner","CarOwner","Cooking","Pets","Fashion","Camping","Hunting","Boating"
"1004",31998642,1,20,2,138000,4,5,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"1005",32001806,1,3,2,0,9,3,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1008",32007678,1,20,2,99000,5,5,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1016",32023595,1,20,2,95000,9,4,2,3,2,2,2,3,0,5,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
"1020",32032772,1,10,2,131000,7,4,2,2,2,2,3,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"1025",32038939,1,20,2,167000,1,7,2,2,2,2,2,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1028",32046966,1,20,2,35000,7,5,2,2,3,2,2,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"1047",32119920,1,9,2,0,8,5,2,2,2,2,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1051",32127824,1,20,2,0,9,5,2,2,2,2,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1056",32134459,1,8,2,0,9,4,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1059",32135824,1,10,2,0,9,4,2,2,3,2,2,1,1,5,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
"1066",32142363,1,18,2,210000,9,4,2,2,2,2,3,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"1084",32156211,1,20,2,230000,8,5,2,2,2,2,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1092",32166411,1,7,2,0,5,4,2,2,2,2,2,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
"1093",32166539,1,20,2,157000,6,6,2,2,2,2,2,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"1102",32180184,1,17,2,203000,8,5,2,2,2,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1104",32181017,1,13,2,0,7,4,2,2,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1112",32190707,1,20,2,175000,8,5,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1116",32196890,1,20,2,145000,4,7,2,2,2,2,2,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1118",32197758,1,20,2,0,6,5,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1132",32207481,1,7,2,0,3,5,2,2,2,2,2,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1135",32216859,1,20,2,198000,9,5,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
