"","Cust_ID","Dwelling","LengthRes","HomeCode","HomeValue","IncCode","AgeCode","Child0_2","Child3_5","Child6_11","Child12_16","Child17_18","FirstChannel","Email","OccupCd","Travel","CurrAff","CurrEv","Wines","FineArts","Exercise","SelfHelp","Collect","Needle","Sewing","DogOwner","CarOwner","Cooking","Pets","Fashion","Camping","Hunting","Boating","Segment"
"136",31844533,1,11,2,0,9,4,2,2,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"137",31845071,1,15,2,0,9,4,2,2,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"138",31845664,1,16,2,0,3,6,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"3"
"139",31846406,1,15,2,0,7,7,2,2,2,2,2,1,1,14,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"140",31847366,2,2,2,0,6,6,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"3"
"141",31855666,1,20,2,0,7,5,2,2,2,2,2,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"3"
"142",31868176,1,20,2,0,8,7,2,2,2,2,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"143",31872554,1,20,2,0,6,6,2,2,3,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"3"
"144",31874129,1,17,2,0,9,4,2,2,2,2,2,2,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,"1"
"145",31874321,1,12,2,0,9,4,2,2,2,3,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"146",31898092,2,9,2,0,4,5,2,2,2,2,2,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,"1"
"147",31899132,1,17,2,0,4,7,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"3"
"148",31909257,1,20,2,0,6,4,2,2,2,2,2,3,0,8,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,"1"
"149",31910839,1,3,2,0,6,3,2,2,2,2,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"3"
"150",31920054,1,12,2,0,9,6,2,2,3,2,2,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"1"
"151",31925492,4,8,2,0,8,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"152",31925523,1,20,2,0,7,6,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"3"
"153",31946807,1,18,2,0,6,7,2,2,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"3"
"154",31966779,1,15,2,189000,9,4,2,2,2,2,2,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"155",31968560,1,7,2,0,9,5,2,2,2,2,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,"1"
"156",31979421,2,11,2,0,6,5,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"157",31986537,1,9,2,192000,9,5,2,2,2,2,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,"1"
"158",31995125,1,5,2,0,9,4,2,2,2,2,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,"1"
"159",31998642,1,20,2,138000,4,5,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"3"
"160",32001806,1,3,2,0,9,3,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"161",32007678,1,20,2,99000,5,5,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"162",32023595,1,20,2,95000,9,4,2,3,2,2,2,3,0,5,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,"2"
"163",32032772,1,10,2,131000,7,4,2,2,2,2,3,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,"1"
"164",32038939,1,20,2,167000,1,7,2,2,2,2,2,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"165",32046966,1,20,2,35000,7,5,2,2,3,2,2,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"3"
"166",32119920,1,9,2,0,8,5,2,2,2,2,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"167",32127824,1,20,2,0,9,5,2,2,2,2,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"3"
"168",32134459,1,8,2,0,9,4,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"169",32135824,1,10,2,0,9,4,2,2,3,2,2,1,1,5,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,"1"
"170",32142363,1,18,2,210000,9,4,2,2,2,2,3,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,"1"
"171",32156211,1,20,2,230000,8,5,2,2,2,2,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"172",32166411,1,7,2,0,5,4,2,2,2,2,2,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,"1"
"173",32166539,1,20,2,157000,6,6,2,2,2,2,2,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"1"
